text_a,intent_a,text_b,intent_b,hard_negative_group
क्या स्कूल ने कोई नया नोटिस जारी किया है?,ANNOUNCEMENT,કૃપા કરીને કૃપા કરીને કૃપા કરીને તમે મને કેવી રીતે મદદ કરી શકો?,GENERAL_HELP,ANNOUNCEMENT__VS__GENERAL_HELP
मला माझ्या मुलाच्या शिक्षकांशी बोलायचे आहे.,ESCALATION,तुम्ही सांगू शकता का: तुम्ही मला कशी मदत करू शकता?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
আমাকে স্কুল কর্তৃপক্ষের সঙ্গে যোগাযোগ করতে হবে।,ESCALATION,പറയാമോ: നിങ്ങൾക്ക് എന്നെ എങ്ങനെ സഹായിക്കാം?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
എന്നെ അധ്യാപകനുമായി ബന്ധിപ്പിക്കൂ.,ESCALATION,இதை சரிபார்க்க முடியுமா: நீங்கள் எனக்கு எப்படி உதவ முடியும்?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
براہ کرم میں اپنے بچے کے استاد سے بات کرنا چاہتا ہوں۔,ESCALATION,நீங்கள் சொல்ல முடியுமா: நீங்கள் எனக்கு எப்படி உதவ முடியும்?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
ਮੈਂ ਆਪਣੇ ਬੱਚੇ ਦੇ ਅਧਿਆਪਕ ਨਾਲ ਗੱਲ ਕਰਨੀ ਹੈ।,ESCALATION,தயவுசெய்து நீங்கள் எனக்கு எப்படி உதவ முடியும்?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
मला शिक्षकांशी जोडून द्या.,ESCALATION,আপনি কীভাবে আমাকে সাহায্য করতে পারেন?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
టీచర్ నుండి కాల్ కోసం అభ్యర్థన చేయండి.,ESCALATION,എനിക്ക് ഇത് അറിയണം: നിങ്ങൾക്ക് എന്നെ എങ്ങനെ സഹായിക്കാം?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
என்னை ஆசிரியருடன் இணைக்கவும்.,ESCALATION,দয়া করে আপনি কীভাবে আমাকে সাহায্য করতে পারেন?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
मला शाळेच्या व्यवस्थापनाशी संपर्क साधायचा आहे.,ESCALATION,ఈ అసిస్టెంట్ ఎలా పనిచేస్తుంది?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
"मैं संतुष्ट नहीं हूँ, मुझे किसी व्यक्ति से बात करनी है।",ESCALATION,કૃપા કરીને કૃપા કરીને કૃપા કરીને તમે મને કેવી રીતે મદદ કરી શકો?,GENERAL_HELP,ESCALATION__VS__GENERAL_HELP
